Gene,t_stat,p_value,mean_PD,mean_Influenza,FDR_BH,log2FC
PKIA,14.735982415427081,2.236311707090771e-11,208.38067679166664,78.3507022,3.6892012671758368e-09,1.3998134106642945
BYSL,-15.771716634518564,2.334143660272366e-11,66.71187673333333,196.9001255,3.6892012671758368e-09,-1.547291715969652
ZNF398,14.48319071828879,2.3143320448557296e-11,237.65196733333332,127.22931974999999,3.6892012671758368e-09,0.8961820561290255
TLE4,24.7778256247176,2.5455267208074168e-11,421.59231199999994,102.4600908452381,3.959708232367093e-09,2.0301921578757707
RARRES3,19.711892290231727,2.6503968409217883e-11,3270.212344416667,304.88531257500006,3.997407407951537e-09,3.418762671158346
AES,19.4259776169344,2.696663727586354e-11,1747.6259719083332,479.1868481666667,3.997407407951537e-09,1.8645539370068764
ATM,21.079911991553697,2.6791231972081035e-11,1624.0017724166667,279.0682051,3.997407407951537e-09,2.5365911766558327
LYL1,17.26772723090498,2.679779753989474e-11,1362.0096572916666,258.17742865833327,3.997407407951537e-09,2.3947837972275323
GLRX,17.001399251675828,2.8188543006716772e-11,3216.9513545,595.2351276666667,4.129949324239899e-09,2.432189236655379
RNF5P1,-21.619362414780795,3.088430537590706e-11,182.42136091666666,439.97324474999994,4.1843252444777305e-09,-1.2655294631928076
LFNG,21.951416293144014,2.955834442672259e-11,1181.0535995583336,180.38737191666667,4.1843252444777305e-09,2.7041495303116108
FXYD5,14.620013435501706,2.940533317083441e-11,4357.525873916667,936.3609685833335,4.1843252444777305e-09,2.2171636461829003
DICER1,16.797901689752848,3.017043260377278e-11,422.37212166666666,177.1809787583333,4.1843252444777305e-09,1.248582939495349
FLI1,17.194306492518653,2.8941871812746598e-11,1092.6110274583334,196.391830625,4.1843252444777305e-09,2.469965507674414
EIF4B,14.447254637014963,3.050597195211212e-11,4666.015396616666,1793.644666666667,4.1843252444777305e-09,1.3788020030236439
TMEM2,16.153893777369714,3.073077423679753e-11,394.76534505000006,106.31026136309524,4.1843252444777305e-09,1.8828572512332071
EIF4EBP2,14.203782767623792,3.21094882962037e-11,510.8925196083334,219.05352148809524,4.273317367830501e-09,1.2179864649014958
PPP1R18,14.684319708953947,3.221945634475378e-11,1961.3495021666663,885.3511390666666,4.273317367830501e-09,1.1466317553225593
PUM2,16.867904820815262,3.266033986991269e-11,1003.65728375,449.01406591666665,4.28666960792604e-09,1.15866144131809
FOXO4,19.801768314196895,3.4617528522760156e-11,469.0827672083334,157.149954875,4.4843494598070454e-09,1.571621649448602
CTDSP1,16.999527983483514,3.487827357627702e-11,624.9424793333334,195.71924474166664,4.4843494598070454e-09,1.6698919863587562
FAF2,-18.253747263039457,3.6212206177063856e-11,627.1628195000001,1251.0891693958333,4.608826240717218e-09,-0.9951268510458675
RCOR3,14.30463165631782,3.7568953908953015e-11,639.42940075,278.1303859583333,4.6868199926020595e-09,1.1981003566036055
C10ORF54,20.958899398518362,3.721593676802209e-11,1726.8638619166668,135.49774780833334,4.6868199926020595e-09,3.6620405000862606
RORA,16.653970452103163,3.836190990719121e-11,199.25199037142858,72.9325347125,4.738824165005973e-09,1.4375353012934955
SLC46A3,14.068269284696846,3.975170553822789e-11,502.3632638749999,154.06526812500002,4.8079407438269795e-09,1.6987243461174284
MAP3K4,15.114912167065082,4.006617286522483e-11,534.482301625,139.92240837499997,4.8079407438269795e-09,1.9259378569195817
ALDH3A2,23.948797786958337,3.9850645367866593e-11,237.82929208333334,67.66816680000001,4.8079407438269795e-09,1.7982664376845827
TSPO,15.303613645964539,4.175673204260968e-11,3684.165035333334,967.0553108333331,4.9425385693357655e-09,1.9285678451634123
ETS1,17.57396198078604,4.197235134277197e-11,5880.742152000001,809.6693554166667,4.9425385693357655e-09,2.85905802665874
VSIG1,13.955587915687321,4.285867324547875e-11,93.40370580833333,55.82531226666667,5.000178545305854e-09,0.7323097865848398
SLCO3A1,18.445747753460868,4.505545455385999e-11,182.02413,66.98535705,5.208245205308587e-09,1.428737915062646
LINC00921,16.876370964167823,4.5604853181550285e-11,244.79616066666668,74.41398205833333,5.223828637159396e-09,1.704558446084528
RNF38,16.18962488297272,4.6521537467994247e-11,569.4785218333334,267.996932875,5.233672965149353e-09,1.0845828478034623
HMGB1,18.34545277719629,4.636574313476129e-11,532.9971793666667,149.74502450833333,5.233672965149353e-09,1.8247217361496464
FOXN3,15.669132867113188,4.7897758328228126e-11,1899.865031704167,583.1554604166666,5.340811990581189e-09,1.702231831470737
ICAM3,18.999534111066538,4.936825016153454e-11,3545.3710864166665,826.1048270000001,5.424422957802712e-09,2.1002014125599793
NDUFAF3,13.839320473188357,4.950862223391365e-11,2430.4198963333333,871.3073512499999,5.424422957802712e-09,1.4788906094953678
ADGRE5,13.966012430384975,4.996657116987688e-11,1977.3311120833337,483.9063100416667,5.4274034201762826e-09,2.0285059766753992
R3HDM4,13.802903462186249,5.366257077537766e-11,2169.743443916667,942.2264600333334,5.779046083502209e-09,1.2025131311506065
ARHGEF18,14.579287542682213,5.497892216287656e-11,2618.1758466666665,1157.2705271666669,5.870630671629192e-09,1.177140672433012
TXNIP,15.797427161632754,5.6414306935621244e-11,16898.011771416666,4353.228673041666,5.9732795578893084e-09,1.9564498010445632
CCDC86,-15.2514929685503,5.711351758630594e-11,136.46107241666667,325.14580979166664,5.996919346562123e-09,-1.2464939735406437
VAMP1,15.574985449556161,6.12719594443438e-11,469.9338602916667,151.11798251190476,6.327010883626769e-09,1.6303337463472793
TTC13,15.137981562987731,6.1696713098444e-11,449.52669929166666,102.85429308333332,6.327010883626769e-09,2.117051751225465
PTPN6,18.52505300939467,6.176367767349941e-11,1035.311592458333,222.55561761666667,6.327010883626769e-09,2.212752145638335
COQ6,13.792332582018977,6.2541894269223e-11,198.20071510833333,120.6164321,6.355063449937175e-09,0.7118846560738907
ROCK1,13.80743920849156,6.35541200343748e-11,395.0400758333334,181.6181619,6.40625529946498e-09,1.1168161733457644
CMIP,17.52178343618855,6.444735183538936e-11,1978.9894503333333,290.8258081,6.427413053884272e-09,2.7623133622976557
PRKCH,30.37446580276663,6.478424268597639e-11,2038.4273689166664,201.1225967916667,6.427413053884272e-09,3.3348616031912792
PRKAB2,18.547907519320315,6.934251223689841e-11,317.8546350416667,79.23329653333334,6.825903548319687e-09,1.9906258737560565
RPL23AP64,17.14012907433886,7.443161281486925e-11,10807.872690333334,2460.2825396666667,7.246919018232923e-09,2.134733880587481
NOSIP,16.11240175443974,7.476979939446666e-11,3086.72421295,1126.5250142500001,7.246919018232923e-09,1.453384460637018
PHF23,-16.189451452325976,7.566397929798125e-11,300.9927468333333,696.1408796666667,7.277604115683692e-09,-1.2069363285731551
EMP3,14.878853591369957,7.672200499444054e-11,5413.8434367,2099.074555416667,7.323464113105688e-09,1.3664790783699843
PIK3IP1,29.893015374219416,8.086269139912328e-11,1393.0120630000001,102.24276714166666,7.603506803201144e-09,3.7551304258422036
AKR1B1,14.081475837007412,8.07118645280454e-11,762.9981844583334,327.5575625,7.603506803201144e-09,1.217423060473374
EFHD2,13.40982072822632,8.417414774862029e-11,5510.0087825,1104.8280463333333,7.798487217886879e-09,2.3171893589733124
SCAF11,16.646950769944795,8.359646892865058e-11,927.7329645833336,420.5160620416667,7.798487217886879e-09,1.1396762363562427
GYG1,13.671898631349782,8.572817978935174e-11,1185.2238705,459.40302905,7.884489528071766e-09,1.3654070783997874
VPS36,13.87172207960368,9.35194641276298e-11,946.3021510416668,289.317178125,8.506929455173028e-09,1.7061947213750486
FAM65B,13.310136734608252,9.384628525944848e-11,1630.5177225000002,410.4402991666667,8.506929455173028e-09,1.987459645983325
SLA,32.04130254146533,9.702391045779087e-11,1391.237455,77.817272875,8.697591733319796e-09,4.142749650587235
OSBPL8,16.17009619976669,9.733019320619771e-11,664.9740987499999,250.35168161666667,8.697591733319796e-09,1.405758727570917
GLUD1,13.251095988328437,1.0065103039299901e-10,1715.3313620833335,613.0918003333334,8.931006922195687e-09,1.4828018677190808
LEPROTL1,14.479252403589102,1.027745310961606e-10,1675.1558095166663,378.1004214166667,8.992771470914051e-09,2.144504297745179
METAP1,14.298880622456831,1.022738723726602e-10,905.4298044999999,417.91814125,8.992771470914051e-09,1.1135269380174098
KLF2,32.72129019803135,1.1381088259789131e-10,10485.172984583332,151.16134361666667,9.755218508390684e-09,6.106742549610353
MMGT1,15.122367533561919,1.1331592335870609e-10,1094.7404569166667,577.2341409166667,9.755218508390684e-09,0.9221804160376905
FUS,-14.245111276346114,1.1306428477095998e-10,60.297878874999995,165.21878319999996,9.755218508390684e-09,-1.4391743625003715
SH3BGRL3,15.817274434125073,1.1630518280678927e-10,3610.972798125,625.8934210833334,9.901657455172601e-09,2.526494933240034
GALC,14.185027487443408,1.1960307870695538e-10,731.2375682500001,286.09339244166665,1.011408585038683e-08,1.3507916678110128
DYRK2,17.151801784196564,1.2774832390173972e-10,738.9919784820514,177.34980454166666,1.0730859207746136e-08,2.052799997285141
FYN,26.170127259252325,1.2925918147544213e-10,653.5836581666666,91.86831270833332,1.0778412430594077e-08,2.817319257164593
TRIB2,17.711791113096037,1.3002529281351586e-10,404.0911666666666,91.518599925,1.0778412430594077e-08,2.1304312871729474
MEN1,13.23014123224851,1.3198428829684603e-10,125.15526965595238,68.97026851666666,1.085142930371044e-08,0.8503865374270543
CD5,13.102400208153059,1.3262858037868315e-10,275.8088015833333,56.182082058333336,1.085142930371044e-08,2.275254760478944
PRKAR1A,15.716441558472347,1.3412358606319971e-10,3487.6848085666666,1014.0603597416666,1.0902949576750428e-08,1.7811177419181448
C21ORF59,13.239514809467964,1.4230044609110945e-10,267.20060658333335,139.2424805833333,1.1493497568897301e-08,0.9353890805956384
LOC606724,14.379986891126737,1.4350061562760116e-10,1063.2969715416668,313.1410632083333,1.151660991661003e-08,1.7604163197347837
MAP3K5,13.54356819405716,1.4997994543993024e-10,646.0537070416667,265.11883477500004,1.196042602875393e-08,1.2818148425299185
CAMK1D,14.664667565224168,1.5252291775005267e-10,159.69617787499996,71.11204560833332,1.2086721783966439e-08,1.1560234424883786
ITGB1,25.53671076393942,1.5504260960824908e-10,3274.8096063333332,560.7480237500001,1.2209605506649615e-08,2.5438564593158297
SARAF,14.936175207336209,1.6105476282065612e-10,8544.651659333333,3291.2831680833333,1.2490147544384302e-08,1.3761020838330094
LMO2,13.047490127515845,1.6087761129367713e-10,1603.1129607916666,267.334715,1.2490147544384302e-08,2.5796701230617263
RHOG,13.309730792352738,1.6157889283608263e-10,2363.503221666667,1166.6075452500002,1.2490147544384302e-08,1.01798166859958
HMGA1,13.248782198741846,1.674656709411937e-10,446.63228616666663,218.36723129166666,1.2745553878956306e-08,1.0289660621894
KIF21A,13.342277093452768,1.6791761459577353e-10,246.7184432916667,92.29047630000001,1.2745553878956306e-08,1.4088995710433432
GIMAP1,30.648406684465833,1.6651083663053566e-10,1040.426755875,51.624212155952385,1.2745553878956306e-08,4.306690837611492
