Gene,t_stat,p_value,mean_PD,mean_Influenza,FDR_BH,log2FC
FAR1,14.071582524569731,2.466708089305818e-06,465.020402,197.69724453333336,0.0002066534294198829,1.2298212503797705
RPL15,14.60826166819493,2.396076456593224e-06,5830.760187999999,1222.3066,0.0002066534294198829,2.2531453597968554
ZBTB22,-14.9468173149834,2.4872422152400407e-06,368.69834133333336,710.6102216666667,0.0002066534294198829,-0.9447386629934158
RHOA,12.86864677895817,2.3864027763878365e-06,5036.570713333333,2362.900962833333,0.0002066534294198829,1.0915585910305303
SPIN4,16.111962038686563,2.524515192767974e-06,141.05892983333334,50.13146696666667,0.00020722315672684586,1.4742061994899496
TNFRSF14,11.99613145730974,2.5150003248896145e-06,2517.408185,1008.5598116666667,0.00020722315672684586,1.3187857487322976
ZBTB44,11.905103045887552,2.6668932912769367e-06,258.0537144666667,136.4340183333333,0.00021640787599023096,0.9145121187405696
RPL36,15.12495696083812,2.6681728435607515e-06,6020.666555000001,1440.464086,0.00021640787599023096,2.0626279295715975
ESYT2,12.752014774274784,2.6971770911892596e-06,2462.631806833333,551.0539365000001,0.00021746588783754352,2.1579055269043295
MCUB,11.995458764439142,2.740094737801767e-06,2431.136299666667,578.4478976666667,0.00021962665233698163,2.069473232231852
CAMK1D,15.213188362340476,2.7649701231551467e-06,167.2518831666667,70.467244,0.000220324461392468,1.235268592719427
UBAC1,27.596251318692246,2.7861269194833177e-06,938.5920416666665,149.040016,0.00022071956630744004,2.646687171833694
CDC14A,11.614177075921637,2.864339574780286e-06,183.33385966666665,76.65500339999998,0.00022302566311974958,1.247170311911197
USP1,12.174905126384399,2.8483564224051335e-06,455.00695733333333,173.9725906666667,0.00022302566311974958,1.381926893274617
DGCR6L,12.025626335668067,2.847651098388048e-06,307.11094199999997,139.01515233333333,0.00022302566311974958,1.1378669549994846
RNPS1,-12.289662974831876,2.9041759506640847e-06,302.1714033333334,484.78206666666665,0.00022431418009618415,-0.6801755542226964
GIMAP8,15.646643196013873,2.913812555190415e-06,2079.9370599999993,471.85281166666664,0.00022431418009618415,2.137770249614519
NDUFAF3,11.50994868290455,2.944044837240565e-06,2497.527492,724.0985736666668,0.000225368286248539,1.7848290515092984
MRPL42,-11.755993997215898,3.0236100440670526e-06,133.14286933333332,242.14251266666665,0.000228090476163899,-0.8580317989639612
CDK17,-11.601328335940076,3.0298235862076704e-06,59.03495333333334,118.234421,0.000228090476163899,-0.989926166925077
ZNF385A,11.478276548352309,3.0060462376392393e-06,206.714717,92.25941050000002,0.000228090476163899,1.1552822221796966
PPM1M,18.228920408716792,3.0654202310350097e-06,1097.816638,206.6068767333333,0.00022950228608836838,2.4040245234361146
SFT2D2,-27.786495518427678,3.1007527389327606e-06,83.63689826666666,322.57874516666664,0.00023087899902020652,-1.934758182621767
TPX2,-13.437872888478998,3.1433168554855547e-06,67.539997,102.75282733333333,0.0002315037828042458,-0.5981326175687469
HACD2,12.81231115761604,3.160113283545407e-06,1120.5457099999999,429.89333999999997,0.0002315037828042458,1.3800857154036894
GSTK1,12.820681364498911,3.141701932313588e-06,2963.038491666667,741.11955,0.0002315037828042458,1.9978406646878089
ZFAND2B,11.733455025704794,3.1771262846272123e-06,568.5560871666667,254.160052,0.0002315054692744941,1.1584354410128626
HMGA1,11.731703073999043,3.198370000425497e-06,437.34778933333337,192.31748266666668,0.00023181377460530756,1.1811038586377354
SNRPN,12.32950350255234,3.228652656444052e-06,616.7234433333334,195.36566433333334,0.0002327704819931569,1.653418395535871
SDAD1,13.24704254062588,3.2627948907720907e-06,1383.8141933333332,809.3712136666667,0.0002339939114824237,0.7730375842963308
APOBEC3A,18.2136765447595,3.3231416950621232e-06,264.0046269999999,60.4901632,0.00023707397244458896,2.1075900084871764
PRKAB2,12.862799181388795,3.37847811740102e-06,310.30155249999996,78.74231520000001,0.00023852405610210516,1.964895374157269
MANBAL,-12.51277658374075,3.3725881646455128e-06,235.8892173333333,397.39655866666664,0.00023852405610210516,-0.7499926536932557
ISOC2,-18.950045131806174,3.4422982273196436e-06,63.94567786666668,321.7116785,0.00024041112860758525,-2.3129403652961145
EMP3,11.62546525660398,3.4870804715350974e-06,5046.159026666666,2030.8260366666666,0.00024041112860758525,1.3126946590179376
ADI1,15.756482061018886,3.4756768872328715e-06,291.91944466666666,91.65562700000001,0.00024041112860758525,1.6605534665464745
NPRL2,11.307311097228267,3.4934245900705912e-06,757.9118208333332,362.327005,0.00024041112860758525,1.0626636654483672
EXOSC4,-14.319392529666821,3.4928275864601576e-06,79.56572866666667,190.43841033333337,0.00024041112860758525,-1.2486421465234434
GALNT1,12.312624994453223,3.674372294963389e-06,236.51687533333333,128.228986,0.00024070671582293818,0.87810031696708
KLHL22,12.930949699869807,3.6400256042247534e-06,391.84885299999996,170.00072,0.00024070671582293818,1.1999719485782077
GRAP,11.23912436347145,3.5278369486337222e-06,273.24881433333337,128.01127253333334,0.00024070671582293818,1.0879882548285797
ARHGAP25,11.33015349001234,3.667486026865288e-06,576.1663956666666,236.31083266666664,0.00024070671582293818,1.2822093467241737
RORA,12.29227682612494,3.641055798053937e-06,201.06430266666663,77.53267908333335,0.00024070671582293818,1.3634494535450044
LAMTOR4,16.73061383943083,3.578163449186655e-06,1245.0536633333336,378.39925999999997,0.00024070671582293818,1.7155774317573282
ARRB1,33.42830135248209,3.6494728006319564e-06,343.623109,67.91597183333333,0.00024070671582293818,2.3221091629414277
MTPN,11.440038189775763,3.638606066507773e-06,4607.805853333333,2016.596106666667,0.00024070671582293818,1.191755598372092
BAG5,11.209280303095408,3.6714988709592905e-06,392.16029100000003,230.8152618333333,0.00024070671582293818,0.7621420665180763
POP7,-12.38707680553037,3.6465740947828547e-06,74.24007533333334,162.7460026666667,0.00024070671582293818,-1.1218864898512262
NINJ2,12.442036901328168,3.7089263388603375e-06,263.255132,95.02976333333335,0.00024180780044646394,1.4603779627403846
SCARNA10,-11.81219115225028,3.7653032939251575e-06,78.28711066666668,172.78963399999998,0.0002443143937286866,-1.1321837745952195
GLTSCR1L,11.390900876252122,3.906163140032566e-06,701.2356889999999,284.56726733333335,0.00025106160858664024,1.2981246963272106
DIAPH1,11.88576772452518,3.941342201572597e-06,1032.1330709999997,301.6847413333333,0.00025106160858664024,1.7711382358382153
LDHB,16.490371001254267,3.904266211607012e-06,4771.313712,1079.7265783333335,0.00025106160858664024,2.14268731263369
CELA1,15.75699923457946,3.94299018329231e-06,104.4429834,50.98778166666667,0.00025106160858664024,1.0202185941577664
YPEL2,17.860665628360575,3.969410918441572e-06,307.362632,90.17124273333333,0.00025156834034737146,1.757977201318937
PLCL2,12.081104750073807,4.002359649387741e-06,1048.303385,300.44577333333336,0.00025248218788221,1.7994614583792288
YWHAH,11.372261705386796,4.066219789157233e-06,3834.4384566666668,1332.818606666667,0.0002553286214150067,1.5238290322204033
MARCH1,12.982087519130419,4.19654627852403e-06,248.68849183333336,71.6865371,0.00025550657370996497,1.7803692488266076
ARIH1,-15.33186509147743,4.133188734544059e-06,98.39657816666667,318.23666866666673,0.00025550657370996497,-1.6833582827577196
METTL7A,15.07113062011162,4.131310818142563e-06,1086.6070786666667,210.82693716666662,0.00025550657370996497,2.3601994785082594
FLI1,17.21559508436955,4.182200924424565e-06,1127.870934,137.57795833333336,0.00025550657370996497,3.0261108380027117
C4ORF46,-17.000298517503357,4.102958179823008e-06,92.425203,272.54485146666667,0.00025550657370996497,-1.5498937037461538
LPAR6,19.77747687330193,4.1962687998190164e-06,709.5353946666667,86.60993566666666,0.00025550657370996497,3.019740120422221
CBL,11.911596434315987,4.200313555778082e-06,458.613524,229.20521559999997,0.00025550657370996497,0.9975007295266218
SEPT9,11.374290203496958,4.378173766413145e-06,7539.837337333333,1576.9290923333333,0.0002642101907287486,2.2566923535965113
SCAPER,-13.428897441791694,4.4403444647646726e-06,107.81007566666668,250.53681433333335,0.0002642101907287486,-1.2089574105242766
RNF125,30.768526218044528,4.4388660809435445e-06,647.191165,73.62358466666667,0.0002642101907287486,3.1187157873508173
BTBD6,13.295244571641245,4.424428238910684e-06,504.0299666666666,172.85818433333333,0.0002642101907287486,1.5384580115575162
SMARCA2,13.450200889298387,4.428821603320115e-06,884.9118186666667,249.216886,0.0002642101907287486,1.8239839501371815
